smiles,minimizedAffinity
Cc1cc(-c2ccco2)cc(C)c1/C=C/c1cncc(C2=N[N]N[N]2)c1,-9.24983501
Nc1ncc(-c2cccc([S@SP](N)(=O)=O)c2)c2scc(-c3ccc(F)c(Cl)c3)c12,-9.68514633
[CH2].[CH2].[CH2].[CH2][O].[CH]OC(=O)[N][CH2].[CH][CH2].[C][C]c1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1.[NH],-10.9415798
Nc1nonc1[C][N]c1[c]cc(F)cc1.[CH2]C.[N],-8.34304428
Nc1nc(-c2cccc(Cl)c2)c(-c2ccc3ncccc3n2)s1,-8.92079544
[CH2].[CH2].[CH2].[CH2].[CH2].[CH2].[CH3].[C]CNC(=O)c1ccc(-c2cc(C(=O)N[CH])ccc2C)cc1,-10.1557131
COc1ccc(-c2oc3ncnc(N)c3c2-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)cc1,-7.32791853
NC(=O)c1cc(-c2ccncc2)cc(-c2ccccc2)c1N,-9.00654697
COc1ccccc1-c1cc(/C=C2\C(=O)Nc3ncc(Br)cc32)cc(Br)c1O,-8.30696869
Clc1[c]ccc(N[C]2N=C[N]c3cc(-c4ccc[nH]4)sc32)c1.[CH2]c1cccc(F)c1.[O],-9.51676464
[CH2].[CH2].[CH2][S@SP](C)(=O)=O.[CH]/C=C(\[O])c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(C(F)(F)F)c3)c2c1.[C].[NH],-7.75818443
Cc1cc(-c2ccccn2)cc(C)c1/C=C/c1cncc(C2=N[N]N[N]2)c1,-9.5240612
[CH2].[CH2].[CH2]N(C)C.[CH2]c1cc(-c2[nH]c(-c3ccc([O])cc3)nc2-c2ccncc2)ccc1/[C]=N/O,-9.99803257
[CH2].[CH2]Oc1cc(Nc2nccc(-c3c(-c4ccc(OC)cc4)nn4ncccc34)n2)ccc1[O],-9.30703068
CC(C)(O)C#Cc1ncc([O])[c]c1[N][C]c1nonc1N.[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH].[NH].[N],-10.1602049
CN(C)C([O])=O.[CH2].[CH].[CH][CH2].[C][C]c1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1.[NH],-10.7540846
CNCCNC(=O)c1[c]c([N][C]c2nonc2N)cnc1.[CH2]C.[N],-8.95124817
COc1cc2ncn(-c3c[c]c(C(N)=O)s3)c2cc1OC.C[CH]c1ccccc1Cl.[O],-9.92787361
C=N[S@SP](=O)(=O)c1ccc(-c2cc(-c3ccc(F)cc3)cc(C(=O)NC)c2N)cc1.[CH2].[CH2].[CH2],-9.45824146
Clc1[c]ccc(N[C]2N=C[N]c3sc(-c4cccs4)cc32)c1.[CH2]c1cccc(F)c1.[O],-9.08530807
CO[C]1C=CC(=S)C=C1Nc1ncc(-c2ccccc2Cl)o1.[CH2]C.[O].[O],-9.60817719
Cc1c2ccc(N(C)c3ccnc(Nc4cccc([S@SP](N)(=O)=O)c4)n3)cc2nn1C,-8.2878685
COc1cccc(-n2ncc3c2[N]C=N[C]3N/N=C/c2ccc(C(=O)NCCN(C)C)cc2)c1,-7.18873978
Cn1c(-c2nonc2N)nc2cnccc21,-6.95948696
[CH2].[CH2]Oc1cc(Nc2nccc(-c3c(-c4ccc(C(F)(F)F)cc4)nn4nc(C)ccc34)n2)ccc1[O],-10.1015396
COc1cc(Cl)c([O])cc1NC1=N[C](Nc2cccc(F)c2C(N)=O)c2cc[nH]c2[N]1.[CH2].[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH].[N],-8.9113493
[CH2].[CH2].[CH2].[CH2].[CH2].[CH2][N][CH2].[CH3].[NH]c1nc2ccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2[nH]1.[N],-10.3602304
COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,-8.99375439
[CH2].[CH2].[CH2][S@SP](C)(=O)=O.[C][CH]/C=C(\[O])c1ccc2ncnc(Nc3ccc(OCc4cccc(C(F)(F)F)c4)cc3)c2c1.[NH],-7.68891621
COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(OC)c1,-8.49368382
C[S@SP](=O)(=O)Nc1ccc(-c2cc(-c3ccccc3)cc(C(N)=O)c2N)cc1,-9.75148296
[CH2].[CH2].[CH2].[CH2].[N]CCCNc1nccc(-c2cnn3ncccc23)n1.[O],-9.73782539
[CH2].[CH2].[CH2].[CH2][N]C.[CH].[CH][N]/C(=[C]/c1ccnc(NCCO)n1)c1ccc(F)cc1.[N],-10.8685837
Fc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,-8.67764759
COc1ccc(-c2cc3c(N)ncnc3o2)cc1,-7.68548727
CC(=O)Nc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1,-8.72828865
N[S@SP](=O)(=O)c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,-8.2802372
COc1cc2ncn(-c3c[c]c(C(N)=O)s3)c2cc1OC.C[CH]c1ccccc1Cl.[O],-9.9285717
Cc1nnc(-c2ccc(C)c(-c3ccc(C(=O)NCc4ccc(Cl)cc4)cc3)c2)o1,-8.91086864
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4ncccc4c32)cc1,-9.29964924
NC1=N[CH]N=C2OC=C(c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)[C]12,-8.34193134
[CH2]c1ccc(Cl)cc1.[NH].[c]1nccc(-c2cnn3ncccc23)n1,-9.64806366
O=C(Nc1ccc(Oc2ccc3[nH]c(NC(=O)c4ccco4)nc3c2)cc1)Nc1cc(C(F)(F)F)ccc1F,-2.5953877
[CH2].[CH2]Oc1[c]ccc(Nc2nccc(-c3cnn4ncccc34)n2)c1.[O],-10.0385809
[CH2].[CH2].[CH2].[CH2].[CH2].[CH2]C.[CH].[N].[O][C]Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12,-9.43973351
[CH2][CH]c1ccc(C(F)(F)F)cc1.[C].[H]/N=C(\C)[C]C(=O)Nc1ccc2[nH]nc(C)c2c1.[O],-10.4561319
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)NCCCn4ccnc4)cc32)cc1,-10.2001648
[CH2].[CH2].[CH2].[CH2].[CH2][NH].[CH]c1nc(-c2c[c]c(/C([CH2])=N/O)cc2)c(-c2ccncc2)[nH]1,-10.6463404
Clc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccccc3)n2)cc1,-9.86393642
[CH2].[CH2].[CH2]Oc1[c]ccc(-c2c(-c3ccccn3)n[c]n2[CH2])c1.[O],-8.76264954
COc1cc(Nc2ncc(-c3ccccc3)o2)cc(OC)c1OC,-7.72224808
[CH2].[CH2]Oc1cc(NC2=N[CH]C=C(c3c(-c4ccc(C(F)(F)F)cc4)nn4ncccc34)[N]2)ccc1[O],-10.1720533
COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc([S@SP](C)(=O)=O)cc4C)n3C)ccc2c1,-9.19649506
COc1cc(C)c(NC(=O)CN(C)C)cc1NC1=N[C](Nc2cccc(F)c2C(N)=O)c2cc[nH]c2[N]1,-9.59099007
[CH2].[CH2]C.[CH2]C.[N].[c]1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,-10.2657843
[CH2].[CH2].[CH2]N(C)C.[CH2]c1[c]ccc(-c2cc(-c3cc[c]cc3)oc2-c2ccncc2)c1.[C].[N]O.[O],-10.0992928
[CH2].[CH2].[CH2][N][CH2].[CH2][S]=O.[H]/[C]=C/[C](O[C])c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,-6.8202424
N[S@SP](=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(Cl)cc32)cc1,-8.1581068
COc1cc2ncn(-c3cc(OCc4ccccc4Cl)c(C(N)=O)s3)c2cc1OC,-9.06252956
[CH2]N.[C].[H]/[C]=C/C(=C\[CH])c1nc(-c2ccc(Cl)c(O)c2)c(-c2ccncc2)[nH]1,-9.07442665
NC(=O)c1sc(-n2cnc3ccc(C(F)(F)F)cc32)cc1OCc1ccccc1Br,-10.0219584
[CH2].[CH2].[CH2].[CH2]C.[CH2][N].[CH2]c1c[c]c([N][C]c2nonc2N)c(C#CC(C)(C)O)n1.[N],-10.0061789
NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1Br,-9.34670544
[O][C](c1ccc2c(c1)/C(=C/c1cc(Cl)c(O)c(Cl)c1)C(=O)N2)c1ccco1,-8.73901653
CNCCOc1c[c]c([N][C]c2nonc2N)c(C#CC(C)(C)O)n1.[CH2]C.[N],-9.63715839
Cc1ccc(C([NH])=O)cc1-c1ccc2[nH]ncc2c1.[CH2].[CH3].[C],-10.12222
[CH2].[CH2].[CH2].[CH2]CNC(=O)Nc1ccc(N(C)c2ccnc(Nc3ccc(C[S@SP](C)(=O)=O)cc3)n2)cc1.[CH2][O].[N],-9.26710796
COc1ccc(-c2ccncc2)cc1C(N)=O,-7.52965975
Nc1nc(-c2ccccn2)c(-c2ccc3ncccc3n2)s1,-8.38353348
CNC(=O)c1cncc(/C=C/c2ccccc2Cl)c1,-7.90165138
COc1cc(/C=N/N[C]2N=C[N]c3[nH]ncc32)ccc1O,-7.74111938
Cc1cccc(-c2n[nH]cc2-c2ccc3ncccc3n2)n1,-8.69737625
c1ccc(Oc2ccc(Nc3ncc(-c4ccccc4)o3)cc2)cc1,-8.78124332
COc1cc[c]cc1Nc1ncc(-c2cccc([C](C)[O])c2)o1.O=S.[CH2]C.[O],-9.49359322
C[CH]c1ccccc1Cl.O[CH]CO.[CH2]Oc1ccc2ncn(-c3c[c]c(C(N)=O)s3)c2c1.[O],-11.699008
[CH2].[CH2].[CH2][S@SP](C)(=O)=O.[NH].[c]1coc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)c1,-9.31918716
Cc1nnc(-c2ccc(C)c(-c3ccc(C([NH])=O)cc3)c2)o1.[CH2]c1ccc(OC)cc1,-5.82761669
CC(C)(O)C#CC1=C([N]C(=[N])c2nonc2N)[C]=CC(=O)[N]1.NC[CH]c1ccccc1.[CH2]C,-10.6433201
COc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccc(Cl)c(C(F)(F)F)c3)n2)cc1,-8.51039219
[CH2].[CH3].[C]C(=O)Nc1n[nH]c2cc(-c3cccc([S@SP](N)(=O)=O)c3)ccc12,-9.72264194
C[C]N/C(=N\[CH]c1ccc(F)cc1)c1ccc(C(F)(F)F)nc1.[C].[O][C]Nc1ccc2[nH]ncc2c1,-9.31972408
O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cc(Cl)c(O)c(Cl)c1,-8.98594093
CN(c1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1)c1ccnc(Nc2cccc([S@SP](N)(=O)=O)c2)n1,-6.64098024
COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc(S(C)=O)cc4C)n3C)ccc2c1,-8.92245579
COc1cc(Nc2nccc(Nc3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC,-8.46741676
[CH2].[CH3].[C]C(=O)Nc1n[nH]c2cc(-c3cccc(N[S@SP](C)(=O)=O)c3)ccc12,-9.58340263
